"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False","LAWS_Tot","LAWS_Cor","LAWS_False"
"274",1,1,0,3,3,0,3,3,0,2,2,0,9,9,0,13,13,0,16,16,0,3,3,0,1,1,0,1,1,0,2,2,0,0,0,0,1,1,0,49,45,4,12,12,0
"275",3,3,0,4,4,0,2,2,0,0,0,0,4,4,0,4,4,0,9,9,0,4,4,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,22,21,1,15,15,0
"276",8,8,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,6,6,0,4,4,0,4,4,0,6,6,0,0,0,0,546,21,525,0,0,0,17,14,3
"277",10,10,0,4,4,0,4,4,0,3,3,0,9,9,0,13,13,0,17,17,0,9,9,0,6,6,0,6,6,0,9,9,0,0,0,0,6,6,0,33,27,6,19,17,2
"278",18,17,1,19,18,1,19,18,1,0,0,0,35,32,3,35,33,2,36,34,2,17,17,0,4,4,0,4,4,0,17,17,0,25,23,2,7,7,0,72,56,16,37,36,1
"279",11,11,0,12,12,0,16,16,0,15,14,1,45,40,5,45,40,5,44,39,5,11,11,0,1,1,0,1,1,0,20,20,0,28,28,0,1,1,0,57,47,10,41,40,1
"280",6,6,0,2,2,0,2,2,0,2,2,0,1,1,0,2,2,0,8,8,0,4,4,0,2,2,0,2,2,0,2,2,0,0,0,0,2,2,0,44,40,4,26,25,1
"281",3,3,0,0,0,0,0,0,0,1,0,1,7,7,0,7,7,0,11,10,1,3,3,0,1,1,0,1,1,0,3,3,0,0,0,0,1,1,0,34,27,7,8,8,0
"282",17,17,0,18,17,1,12,11,1,0,0,0,17,17,0,28,28,0,39,39,0,18,18,0,11,11,0,11,11,0,22,22,0,45,43,2,11,11,0,53,50,3,46,45,1
"283",12,12,0,9,9,0,3,3,0,0,0,0,19,19,0,27,27,0,36,36,0,13,13,0,7,7,0,7,7,0,12,12,0,0,0,0,7,7,0,51,44,7,47,45,2
"284",1,1,0,20,20,0,21,21,0,21,21,0,12,12,0,25,25,0,29,29,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,43,41,2,36,36,0
"285",5,4,1,6,5,1,6,5,1,0,0,0,2,2,0,4,4,0,16,16,0,5,4,1,2,2,0,2,2,0,5,4,1,0,0,0,2,2,0,45,40,5,18,17,1
"286",12,12,0,12,11,1,23,18,5,8,8,0,29,29,0,30,30,0,33,32,1,12,12,0,10,10,0,10,10,0,21,19,2,0,0,0,10,10,0,54,53,1,56,53,3
