"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"386",21,20,1,35,34,1,31,30,1,16,15,1,70,70,0,69,69,0,61,61,0,23,22,1,21,21,0,21,21,0,21,21,0,0,0,0,21,21,0,72,71,1
"387",11,11,0,11,11,0,10,10,0,0,0,0,12,12,0,13,13,0,10,10,0,11,11,0,12,12,0,12,12,0,12,12,0,0,0,0,14,12,2,16,16,0
"388",12,12,0,14,14,0,13,13,0,9,9,0,31,31,0,31,31,0,33,32,1,12,12,0,10,10,0,10,10,0,13,12,1,22,22,0,75,10,65,28,27,1
"389",20,20,0,23,23,0,25,25,0,0,0,0,32,32,0,34,34,0,33,33,0,25,24,1,18,18,0,18,18,0,23,23,0,24,24,0,18,18,0,53,45,8
"390",37,35,2,51,47,4,50,47,3,43,42,1,57,57,0,56,55,1,50,49,1,38,36,2,35,34,1,35,34,1,35,34,1,41,41,0,35,34,1,73,67,6
"391",26,25,1,27,24,3,17,15,2,6,5,1,38,38,0,38,38,0,32,32,0,26,24,2,28,28,0,28,28,0,29,27,2,22,21,1,28,28,0,49,48,1
"392",17,17,0,24,23,1,23,23,0,22,22,0,17,16,1,17,16,1,6,5,1,18,17,1,15,15,0,15,15,0,18,18,0,20,20,0,15,15,0,24,21,3
"393",46,43,3,63,60,3,65,62,3,61,60,1,72,69,3,67,65,2,60,60,0,43,41,2,41,40,1,41,40,1,44,42,2,60,55,5,86,40,46,89,81,8
"394",48,46,2,55,53,2,52,50,2,1,1,0,61,59,2,60,58,2,43,41,2,44,42,2,42,41,1,42,41,1,46,46,0,51,50,1,42,41,1,84,79,5
"395",42,41,1,52,49,3,46,44,2,1,0,1,58,58,0,57,56,1,28,28,0,40,40,0,40,40,0,40,40,0,41,40,1,46,44,2,40,40,0,57,56,1
