"","WABH MMW constant pm_Tot","WABH MMW constant pm_Cor","WABH MMW constant pm_False","WABH MMW mean_pm adapt pm_Tot","WABH MMW mean_pm adapt pm_Cor","WABH MMW mean_pm adapt pm_False","WABH MMW 0.5 adapt pm_Tot","WABH MMW 0.5 adapt pm_Cor","WABH MMW 0.5 adapt pm_False","WABH MMW 0.9 adapt pm_Tot","WABH MMW 0.9 adapt pm_Cor","WABH MMW 0.9 adapt pm_False","WABH MMW mean_pm camt pm_Tot","WABH MMW mean_pm camt pm_Cor","WABH MMW mean_pm camt pm_False","WABH MMW 0.5 camt pm_Tot","WABH MMW 0.5 camt pm_Cor","WABH MMW 0.5 camt pm_False","WABH MMW 0.9 camt pm_Tot","WABH MMW 0.9 camt pm_Cor","WABH MMW 0.9 camt pm_False","Ten Rule_Tot","Ten Rule_Cor","Ten Rule_False","Adaptive BH_Tot","Adaptive BH_Cor","Adaptive BH_False","Regular BH_Tot","Regular BH_Cor","Regular BH_False","IHW_Tot","IHW_Cor","IHW_False","ADAPT_Tot","ADAPT_Cor","ADAPT_False","SWFDR_Tot","SWFDR_Cor","SWFDR_False","CAMT_Tot","CAMT_Cor","CAMT_False"
"147",9,9,0,7,7,0,1,1,0,0,0,0,22,22,0,24,24,0,30,30,0,10,10,0,9,9,0,9,9,0,15,15,0,0,0,0,9,9,0,51,48,3
"148",7,7,0,3,3,0,0,0,0,0,0,0,20,19,1,19,18,1,22,20,2,6,6,0,3,3,0,3,3,0,7,7,0,0,0,0,3,3,0,39,37,2
"149",6,6,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,6,6,0,1,1,0,1,1,0,5,5,0,0,0,0,1,1,0,0,0,0
"150",6,5,1,5,4,1,11,10,1,0,0,0,13,13,0,15,15,0,19,19,0,6,5,1,3,3,0,3,3,0,4,4,0,23,19,4,145,3,142,43,37,6
"151",0,0,0,3,3,0,0,0,0,0,0,0,6,6,0,6,6,0,6,6,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,12,10,2
"152",8,8,0,8,8,0,5,4,1,0,0,0,15,15,0,20,20,0,27,27,0,7,7,0,7,7,0,7,7,0,7,7,0,0,0,0,7,7,0,53,50,3
"153",13,13,0,2,2,0,0,0,0,0,0,0,32,31,1,32,32,0,29,29,0,13,13,0,13,13,0,13,13,0,13,13,0,0,0,0,13,13,0,41,37,4
"154",36,34,2,45,42,3,46,44,2,0,0,0,52,52,0,52,52,0,51,51,0,32,31,1,23,23,0,23,23,0,34,33,1,40,40,0,23,23,0,63,61,2
"155",24,23,1,45,42,3,44,42,2,1,1,0,55,53,2,55,53,2,53,52,1,23,22,1,19,19,0,19,19,0,25,25,0,33,33,0,19,19,0,70,65,5
"156",0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,0,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,1
