"","40/160 SplitTotal","40/160 SplitCorrect","40/160 SplitFalse","100/100 SplitTotal","100/100 SplitCorrect","100/100 SplitFalse","200/200 SplitTotal","200/200 SplitCorrect","200/200 SplitFalse"
"401",1,1,0,0,0,0,0,0,0
"402",0,0,0,0,0,0,0,0,0
"403",0,0,0,0,0,0,17,17,0
"404",5,5,0,0,0,0,1,1,0
"405",3,3,0,0,0,0,2,2,0
"406",1,1,0,0,0,0,25,24,1
"407",8,7,1,0,0,0,5,5,0
"408",0,0,0,0,0,0,2,2,0
"409",3,3,0,0,0,0,1,1,0
"410",0,0,0,1,1,0,0,0,0
"411",0,0,0,0,0,0,0,0,0
"412",1,1,0,0,0,0,0,0,0
"413",0,0,0,0,0,0,0,0,0
"414",0,0,0,0,0,0,0,0,0
"415",1,1,0,0,0,0,0,0,0
"416",0,0,0,0,0,0,5,5,0
"417",0,0,0,0,0,0,3,3,0
"418",0,0,0,0,0,0,0,0,0
"419",0,0,0,0,0,0,13,12,1
"420",3,3,0,0,0,0,0,0,0
"421",0,0,0,0,0,0,0,0,0
"422",1,1,0,1,1,0,8,8,0
"423",2,1,1,0,0,0,13,13,0
"424",0,0,0,0,0,0,4,4,0
"425",0,0,0,0,0,0,0,0,0
"426",11,9,2,0,0,0,0,0,0
"427",0,0,0,0,0,0,1,1,0
"428",0,0,0,0,0,0,0,0,0
"429",0,0,0,0,0,0,6,6,0
"430",9,9,0,0,0,0,0,0,0
"431",0,0,0,0,0,0,9,8,1
"432",0,0,0,0,0,0,7,7,0
"433",0,0,0,0,0,0,0,0,0
"434",1,1,0,0,0,0,1,1,0
"435",1,1,0,1,1,0,43,41,2
"436",0,0,0,0,0,0,0,0,0
"437",0,0,0,0,0,0,1,1,0
"438",0,0,0,0,0,0,1,1,0
"439",22,21,1,0,0,0,4,3,1
"440",3,3,0,0,0,0,0,0,0
"441",8,7,1,0,0,0,1,1,0
"442",3,3,0,0,0,0,6,6,0
"443",0,0,0,0,0,0,0,0,0
"444",0,0,0,0,0,0,0,0,0
"445",8,8,0,0,0,0,2,2,0
"446",1,1,0,0,0,0,8,8,0
"447",3,3,0,0,0,0,0,0,0
"448",0,0,0,0,0,0,0,0,0
"449",0,0,0,0,0,0,1,1,0
"450",0,0,0,0,0,0,9,7,2
"451",0,0,0,0,0,0,0,0,0
"452",0,0,0,0,0,0,10,10,0
"453",6,6,0,0,0,0,0,0,0
